STASIUN 3;;;;;;;;;
;;;;;;;;;
PLOT 1 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);Antenna, Kepala;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
5;1,73;0,3;0,19;A > 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
6;0,47;0,09;0,1;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
7;1,13;0,16;0,26;A < 0.5 T;Sedikit;Ada;Tidak ada;3;PODUROMORPHA
8;0,64;0,07;0,13;A < 0.5 T;Banyak;Ada;Reduksi;0;ENTOMOBRYOMORPHA
9;1,23;0,45;0,29;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
10;0,84;0,21;0,22;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
11;0,5;0,08;0,09;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
13;0,35;0,26;0,09;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
14;0,46;0,08;0,06;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
15;0,7;0,21;0,14;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
16;1,27;0,32;0,28;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
17;3,27;0,67;0,42;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
18;3,1;0,69;0,47;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
19;2,5;1,02;0,42;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
20;2,86;0,8;0,43;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
21;1,94;0,14;0,46;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
22;0,82;0,12;0,16;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
23;0,96;0,12;0,19;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
24;01/03;0,21;0,14;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
25;0,67;0,06;0,14;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
26;0,78;0,22;0,16;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
27;2,04;0,48;0,52;A < 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
28;1,7;0,24;0,21;A > 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
29;0,72;0,09;0,14;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
30;0,91;0,23;0,19;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 2 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;1,62;0,43;0,26;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
2;1,06;0,83;0,32;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
3;2,2;0,58;0,46;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
4;1,51;0,4;0,28;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
5;0,4;0,06;0,09;A < 0.5 T;Sedikit;Ada;Ada;0;PODUROMORPHA
6;0,76;0,2;0,16;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
7;3,44;0,72;0,44;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
8;0,42;0,08;0,1;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
9;0,67;0,11;0,12;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
10;0,62;0,08;0,14;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
